Name,Age,Gender,Admission Test Score,High School Percentage,City,Admission Status
Ulugbek,21.0,Male,,57.44,Rawalpindi,Accepted
Nadia,21.0,Female,74.2,86.56,Rawalpindi,Rejected
Ali,17.0,Male,71.8,73.55,Peshawar,Accepted
Rohail,35.0,Male,91.9,57.05,Islamabad,Accepted
Dilorom,16.0,Female,83.6,79.38,Lahore,Accepted
Ulugbek,21.0,Male,42.8,84.96,Karachi,
Danyal,22.0,Male,79.4,95.93,Rawalpindi,Accepted
Hafsa,17.9,Female,100.0,79.47,Peshawar,Accepted
Faisal,18.0,Male,92.6,66.09,Rawalpindi,Accepted
Saim,18.0,Male,82.4,67.23,Rawalpindi,Rejected
Taimur,16.0,Male,70.6,68.16,Karachi,Rejected
Shahid,20.0,Male,78.2,69.98,Karachi,Rejected
Sadia,18.0,Female,66.0,81.07,Peshawar,Rejected
Sajid,21.0,Male,76.9,54.59,ISLAMABAD,Rejected
Nilufar,18.0,Female,76.5,67.34,Rawalpindi,Rejected
Farrukh,,Male,53.8,76.09,Islamabad,Rejected
Dilovar,22.0,Male,70.0,66.24,Peshawar,Rejected
Sidra,22.0,Female,44.7,63.76,Peshawar,Rejected
Kamola,25.0,Female,85.1,73.89,Quetta,Accepted
Nashit,17.0,Female,,68.6,Peshawar,Accepted
Sumera,23.0,Female,59.8,74.56,Islamabad,Rejected
Sarvinoz,20.0,Female,80.2,61.99,Peshawar,Rejected
Zamira,17.0,Female,67.4,73.02,Lahore,Rejected
Kamran,21.0,Male,82.6,51.26,Islamabad,Rejected
Hamza,18.0,Male,50.7,80.33,Peshawar,Rejected
Usman,,Male,66.0,93.9,Rawalpindi,Accepted
Kamran,20.0,Male,100.0,68.14,Lahore,
Taimur,19.0,Male,75.7,,Karachi,Accepted
,19.0,Male,62.7,56.53,Rawalpindi,Rejected
Yulduz,20.0,Female,65.4,78.83,Peshawar,Rejected
Hamza,21.0,Male,61.7,59.62,Rawalpindi,Rejected
Shahid,16.0,Male,80.1,99.0,Multan,Accepted
Sana,24.0,Female,,66.53,Rawalpindi,Accepted
Malika,19.0,Female,64.8,71.31,Islamabad,Rejected
Asilbek,18.0,Male,71.3,68.5,Lahore,Rejected
Huma,20.0,Female,79.7,99.0,Multan,Accepted
Usman,23.0,Male,55.3,69.61,Multan,Rejected
Asilbek,20.0,Male,56.4,65.1,Lahore,Rejected
Javed,20.0,Male,78.7,82.38,,Accepted
Muhabbat,21.0,Female,54.4,72.19,Multan,Rejected
Huma,20.0,Female,63.0,73.68,Lahore,Rejected
Ali,21.0,,72.6,84.08,Lahore,Accepted
WALEED,18.0,Male,82.7,95.3,Peshawar,Accepted
Javlon,16.0,Male,89.9,81.2,Islamabad,Accepted
Moiz,19.0,Male,100.0,91.11,Karachi,Accepted
Asilbek,19.0,Male,68.5,83.98,Karachi,Accepted
Faisal,20.0,Male,62.2,76.33,Multan,Rejected
Sarvinoz,20.0,Female,191.0,77.82,Lahore,Rejected
Sanjar,20.0,Male,100.0,58.23,Rawalpindi,Accepted
Rukhsana,17.0,Female,75.4,64.2,Karachi,Rejected
Kamran,23.0,Male,83.2,76.49,Quetta,Accepted
Imran,18.0,Male,86.3,44.32,Peshawar,Rejected
Javed,17.0,Male,59.7,70.84,Islamabad,Rejected
Bekzod,20.0,Male,63.8,87.66,RAWALPINDI,Accepted
Nilufar,20.0,Female,81.5,99.0,Quetta,Accepted
Shamsiddin,,Male,,75.89,Lahore,
Sherzod,21.0,Male,79.2,61.93,Quetta,Accepted
Sarvinoz,26.0,Female,51.3,94.37,Karachi,Rejected
Fareeha,21.0,Female,65.2,50.78,Quetta,Rejected
Raza,17.0,Male,62.8,67.73,Multan,Rejected
Sobia,19.0,Female,76.6,93.1,PESHAWAR,Accepted
Temur,,Male,70.4,49.76,Multan,Rejected
Fatima,19.0,Female,,60.42,Islamabad,Rejected
Rohail,19.0,Male,52.3,92.05,,Rejected
Raza,19.0,Male,96.8,99.0,Multan,Accepted
Asad,21.0,Male,85.0,86.5,Lahore,Accepted
Shehroz,21.0,Male,98.1,53.18,Rawalpindi,Accepted
Zulfiya,20.0,Female,81.1,74.74,Multan,Rejected
Ali,22.0,Male,97.9,92.86,Lahore,Accepted
Rukhsana,16.0,Female,66.4,71.87,Multan,Rejected
Humaira,19.0,Female,57.3,69.85,Quetta,Rejected
Mirzo,18.0,Male,54.4,95.56,Quetta,Rejected
Waleed,20.0,Male,97.0,76.18,Karachi,
Mansur,18.0,Male,55.7,67.67,Multan,Rejected
Shahid,18.0,Male,,80.34,Karachii,Accepted
Feruza,20.0,Female,69.9,75.38,Peshawar,Rejected
Samina,,Female,,91.76,Rawalpindi,Rejected
Hamza,21.0,Male,84.0,77.76,Rawalpindi,Accepted
Samina,23.0,Female,67.9,87.13,Lahore,Accepted
Sumera,20.0,Female,67.7,51.95,Karachi,Rejected
Furqan,22.0,Male,104.7,83.25,Islamabad,Accepted
Ahmed,20.0,Male,78.9,,Karachi,Accepted
Muniba,21.0,Female,59.2,70.38,Peshawar,Rejected
Nabeel,17.0,Male,91.3,48.89,Karachi,Accepted
Gulnora,17.0,Female,73.8,91.04,Islamabad,Accepted
Muhabbat,24.0,Female,100.0,69.19,Rawalpindi,Accepted
Zara,19.0,Female,43.0,82.81,Lahore,Rejected
Amir,22.0,Male,89.8,80.94,Peshawar,Accepted
Rohail,20.0,Male,100.0,68.93,Quetta,Accepted
Sara,18.0,Female,90.1,85.26,Lahore,Accepted
Yulduz,20.0,Female,72.5,48.72,Karachi,Rejected
Barno,21.0,Female,90.0,76.91,Peshawar,Accepted
Hafsa,22.0,Female,66.9,,Karachi,Rejected
Sobia,22.0,Female,66.0,56.49,Lahore,Rejected
Shahnoza,24.0,Female,73.0,40.0,Quetta,Rejected
Tahir,17.0,Male,80.0,59.57,Quetta,Rejected
Bekzod,20.0,Male,61.9,85.37,Lahore,Rejected
Shazia,18.0,Female,65.2,78.05,Quetta,Rejected
Junaid,21.0,,68.2,95.67,Karachi,Accepted
Ahmed,18.0,Male,45.2,n/a,Multan,Rejected
Ismail,25.0,Male,76.4,73.17,Multan,Accepted
Bekzod,22.0,Male,68.5,62.61,Quetta,Rejected
Taimur,21.0,Male,99.7,57.18,Islamabad,Accepted
Ismail,19.0,Male,82.9,99.0,Multan,Accepted
Khurram,20.0,Male,79.9,62.68,Rawalpindi,Rejected
Sobia,22.0,Female,60.4,62.88,Multan,Rejected
Javlon,-3.0,Male,78.6,90.95,Lahore,Accepted
Nisha,21.0,Female,66.6,79.63,Multan,Rejected
Sherzod,25.0,Male,84.4,88.73,Rawalpindi,Accepted
Shazia,16.0,Female,56.5,,Islamabad,Rejected
Kamol,23.0,femal,72.1,85.71,Peshawar,Accepted
Mahnoor,20.0,Female,76.0,85.47,Quetta,Accepted
Murtaza,22.0,Male,41.3,80.67,Peshawar,Rejected
Kamol,20.0,Male,58.9,,Islamabad,Rejected
Mohira,21.0,Female,73.0,80.48,Karachi,Accepted
Mirzo,22.0,Male,73.1,58.96,Peshawar,Rejected
Saqib,24.0,Male,59.2,75.91,Peshawar,Rejected
Nadia,17.0,Female,81.2,43.44,Islamabad,Rejected
Mahnoor,22.0,Female,72.6,61.34,Karachi,accepted
Muslimbek,19.0,Male,93.1,80.16,Peshawar,Accepted
Asad,19.0,Male,80.8,75.84,Karachi,Accepted
Lola,18.0,Female,61.8,69.64,Rawalpindi,Rejected
Javed,19.0,Male,96.8,68.1,Quetta,Accepted
Kamran,20.0,fEmale,84.9,77.27,Quetta,Accepted
Ali,99.0,Male,49.2,53.64,Islamabad,Rejected
Mansur,20.0,Male,55.4,85.87,Quetta,Rejected
Hamza,18.0,Male,59.0,99.0,Peshawar,Rejected
Moiz,21.0,Male,78.6,73.01,Lahore,Accepted
Otabek,19.0,Male,69.5,64.26,Lahore,Rejected
Zunaira,24.0,,77.2,56.5,Lahore,rejected
Sidra,19.0,Female,66.7,40.0,Karachi,Rejected
Javed,20.0,Male,95.8,99.0,Karachi,Accepted
,20.0,Female,100.0,76.9,Quetta,Accepted
Naeem,18.0,Male,96.3,90.96,Lahore,Accepted
Abbos,16.0,Male,67.2,50.24,Peshawar,Rejected
Zaid,23.0,Male,68.4,43.88,Lahore,Rejected
Mansur,19.0,Male,94.2,65.5,Islamabad,Accepted
Muniba,17.0,Female,90.8,62.2,Karachi,accepted
Shazia,18.0,Female,91.7,83.93,Islamabad,Accepted
Tariq,19.0,Male,73.8,58.65,Rawalpindi,
Muslimbek,23.0,Male,98.6,72.69,Quetta,Accepted
Zamira,20.0,Female,69.6,69.74,Karachi,Rejected
Yulduz,23.0,,97.0,89.32,Multan,Accepted
Zainab,,Female,#VALUE!,58.92,Multan,Accepted
Zainab,23.0,Female,75.5,52.19,Quetta,Rejected
Nadia,16.0,Female,66.2,58.46,Peshawar,Rejected
Huma,22.0,Female,57.1,93.57,Multan,Accepted
Usman,99.0,Male,80.9,90.1,Rawalpindi,Accepted
Maryam,22.0,Female,63.4,86.29,Quetta,
Zunaira,19.0,Female,100.0,96.44,Quetta,Accepted
Uzma,21.0,Female,88.1,71.35,Multan,Accepted
Mahnoor,21.0,Female,70.8,75.47,Islamabad,Rejected
Taimur,16.0,Male,97.7,84.97,quetta,Accepted
,21.0,Male,79.3,40.0,Peshawar,Rejected
Shafiq,22.0,,82.3,83.05,Islamabad,Accepted
Maryam,,,78.2,62.83,Peshawar,Rejected
Noor,20.0,Female,78.7,65.59,Islamabad,Accepted
Omer,,Male,96.8,85.64,Multan,Accepted
Sumera,22.0,Female,79.2,90.85,Peshawar,reject
Danyal,23.0,Male,92.9,78.11,Lahore,Accepted
Zamira,23.0,Female,85.9,52.33,Peshawar,Accepted
Shamsiddin,21.0,Male,68.2,85.63,Quetta,Accepted
Farrukh,23.0,Male,68.6,,Islamabad,Rejected
Gulnora,18.0,Female,51.6,91.09,Islamabad,Rejected
Rabia,22.0,Female,95.6,59.9,Islamabad,Accepted
Khurram,21.0,Male,68.4,87.59,Peshawar,Accepted
Adnan,16.0,Male,43.9,88.63,Quetta,Rejected
Mansur,24.0,Male,90.2,55.57,Peshawar,Rejected
Barno,19.0,Female,79.4,93.49,Peshawar,Accepted
Sarvinoz,19.0,,57.9,71.58,Multan,Rejected
Ozoda,19.0,Female,70.4,71.22,Quetta,Rejected
Khurram,20.0,Male,100.0,92.99,Peshawar,Accepted
Arslan,17.0,Male,94.7,79.56,Rawalpindi,Accepted
,19.0,Male,71.8,64.31,Multan,Rejected
Mahnoor,26.0,Female,91.6,78.92,Quetta,Accepted
Murtaza,18.0,Male,95.7,73.67,Lahore,Accepted
Bekzod,24.0,Male,78.9,73.19,Peshawar,Accepted
Abbos,18.0,Male,63.5,84.39,Peshawar,Accepted
Uzma,17.0,Female,60.9,66.96,,Rejected
Sarvarbek,20.0,Male,77.3,76.18,Karachi,Accepted
Kashif,20.0,Male,85.8,94.91,Peshawar,Accepted
Mehwish,20.0,Female,68.2,74.65,Karachi,Accepted
Tayyaba,23.0,Female,78.1,81.77,Karachi,Accepted
Furqan,20.0,Male,78.9,57.73,Peshawar,Rejected
Eldor,21.0,Male,,77.98,Quetta,Rejected
Sherzod,19.0,femal,57.3,72.56,Islamabad,
Yulduz,21.0,Female,76.0,,Islamabad,Accepted
Tayyaba,18.0,Female,89.1,63.08,Rawalpindi,Accepted
Gulnora,21.0,Female,69.5,92.47,Multan,Accepted
Amir,18.0,Male,89.8,76.8,Lahore,Accepted
Kiran,21.0,Female,96.7,84.5,Karachi,Accepted
Muniba,,Female,114.0,70.68,Peshawar,Rejected
,20.0,Male,80.8,,Peshawar,Rejected
Kiran,21.0,Female,73.5,97.47,Quetta,Accepted
Nisha,22.0,Female,62.9,78.33,Karachi,Rejected
Salman,19.0,Male,80.1,66.29,Rawalpindi,Accepted
Lochinbek,24.0,Male,75.4,89.03,Multan,Accepted
Hina,18.0,Female,60.4,93.75,Lahore,Accepted
Aliya,22.0,Female,96.9,77.55,Peshawar,Accepted
Abbos,19.0,Male,100.0,58.67,Quetta,Accepted
Taimur,18.0,Male,63.6,92.03,Peshawar,Rejected
Shahid,21.0,Male,90.9,83.28,Rawalpindi,accepted
Sana,19.0,Female,79.1,81.8,Quetta,Accepted
Mahnoor,21.0,Female,78.0,62.42,Quetta,Rejected
Usman,21.6,Male,70.0,86.41,Karachi,
Tariq,21.0,Male,,83.42,Multan,Rejected
Eldor,21.0,Male,56.2,,Peshawar,Rejected
Rida,22.0,Female,77.5,67.15,Karachi,Rejected
Noor,19.0,Female,87.8,88.77,Karachi,Accepted
Farrukh,22.0,Male,92.4,81.03,Multan,Accepted
Gulnora,18.0,Female,60.8,,Multan,Accepted
Behruz,-1.0,Male,87.4,54.16,Multan,Rejected
,19.0,Male,71.5,64.05,Lahore,Rejected
Shoira,18.0,F,93.8,82.74,Karachi,Accepted
Ibrohim,18.0,Male,34.0,74.52,Quetta,Rejected
SITORA,20.0,Female,60.9,58.35,Multan,Rejected
Nasiba,17.0,Female,68.5,78.85,Karachi,
Tariq,21.0,Male,70.7,60.75,Lahore,Rejected
,21.0,Male,100.0,69.8,Peshawar,Accepted
Faisal,22.0,Male,79.3,,Multan,Accepted
Zara,19.0,Female,75.6,79.53,Peshawar,Accepted
Saim,-1.0,,99.4,118.53,Rawalpindi,Accepted
Gulnora,23.0,Female,76.7,89.07,Islamabad,Accepted
Hafsa,20.0,Female,89.7,68.42,Rawalpindi,Accepted
Waqar,17.0,Male,76.1,99.0,Islamabad,Accepted
Samina,20.0,Female,91.2,55.56,Karachi,Rejected
Waqar,20.0,Male,67.6,79.33,Multan,Rejected
Hulkar,23.0,Female,53.0,71.33,Multan,Rejected
Maftuna,17.0,Female,50.6,52.7,Rawalpindi,Rejected
Laziz,23.0,Male,58.1,94.86,Lahore,Rejected
Mahnoor,20.0,Female,73.1,78.35,Peshawar,Rejected
Khurram,18.0,Male,61.6,69.26,Karachi,Rejected
Zaid,20.0,Male,80.0,84.89,Islamabad,Accepted
Sara,23.0,Female,-37.0,83.63,Islamabad,Accepted
Amir,23.0,Male,96.9,57.78,Quetta,Accepted
Fatima,22.0,Female,72.4,49.36,Rawalpindi,Rejected
Mirzo,20.0,Male,93.9,74.99,Karachi,Accepted
Talha,19.0,Male,77.2,73.77,Rawalpindi,Rejected
Ulugbek,19.0,Male,60.7,78.78,Karachi,Rejected
Shahid,18.0,Male,75.3,70.34,Peshawar,Accepted
Muhabbat,19.0,Female,99.6,58.38,Quetta,Accepted
Iqra,21.0,Female,68.2,81.85,Islamabad,Rejected
Sadia,19.0,Female,87.5,77.81,Islamabad,Accepted
Ayesha,,,89.4,83.82,Lahore,Accepted
Talha,18.0,Male,78.6,-3.94,Rawalpindi,Accepted
Feruza,16.0,Female,100.0,104.41,Peshawar,Accepted
Zunaira,16.0,Female,89.9,,Quetta,Accepted
Sara,19.0,Female,68.7,90.52,Lahore,Rejected
Iqra,24.0,Female,74.5,52.06,Multan,Rejected
Asilbek,24.0,Male,75.5,76.22,Islamabad,Accepted
Mavluda,18.0,Female,100.0,75.29,Islamabad,Accepted
,17.0,Male,99.3,,Quetta,Accepted
Sherzod,21.0,Male,98.1,72.94,Islamabad,
Arslan,20.0,Male,49.4,60.07,Multan,Rejected
Javlon,18.0,Male,75.6,55.75,Karachi,Rejected
Dilnoza,24.0,Female,58.6,97.76,Peshawar,Rejected
Iqra,20.0,Female,70.5,74.9,Lahore,Accepted
Nodir,20.0,Male,84.8,93.22,Karachi,Accepted
Iqra,23.0,Female,75.2,64.97,Multan,Rejected
Nashit,16.0,,78.7,73.78,Karachi,Accepted
Moiz,25.0,Male,30.0,81.02,Quetta,Rejected
Taimur,22.0,Male,100.0,81.0,Islamabad,Accepted
Ulugbek,21.0,Male,72.7,50.25,Lahore,
Adnan,20.0,Male,,87.7,Rawalpindi,Rejected
Ahmed,20.0,Male,97.9,99.0,Peshawar,Accepted
Saqib,,Male,79.1,65.11,Karachi,Rejected
Haris,22.0,Male,67.0,88.86,Lahore,Accepted
Haris,25.0,Male,82.2,43.27,Quetta,Rejected
Haris,21.0,Male,80.6,90.05,Peshawar,Accepted
,21.0,Female,57.8,70.41,Multan,Rejected
Jasur,17.0,Male,60.0,63.38,Islamabad,Rejected
Hassan,19.0,Male,-50.0,63.35,Islamabad,Accepted
Muhabbat,17.0,Female,145.0,62.53,Lahore,Accepted
Shamsiddin,19.0,Male,95.5,80.74,Peshawar,Accepted
Laziz,18.0,Male,73.8,,Karachi,Rejected
Shahnoza,21.0,Female,92.6,70.96,Multan,Accepted
Fatima,22.0,Female,-39.0,81.17,Peshawar,Accepted
Mavluda,20.0,Female,66.2,64.96,Islamabad,Rejected
Amjad,19.0,Male,71.7,78.85,LAHORE,Rejected
Mansur,22.0,Male,78.5,66.98,Rawalpindi,Accepted
Bekzod,20.0,Male,61.2,50.68,Quetta,Rejected
Nisha,22.0,Female,70.0,65.41,Rawalpindi,Rejected
Sarvarbek,19.0,Male,58.3,93.79,Karachi,Accepted
Zulfiya,24.0,Female,69.9,72.52,Karachi,Rejected
,20.0,Female,100.0,61.29,Islamabad,Accepted
Barno,21.0,Female,82.0,91.84,Quetta,Accepted
Kamola,20.0,Female,100.0,76.51,Rawalpindi,Accepted
Babar,18.0,Male,83.1,84.34,Multan,Accepted
Feruza,19.0,Female,69.1,91.22,Peshawar,Accepted
Rabia,21.0,Female,53.4,42.89,Islamabad,Rejected
Mohira,23.0,Female,88.5,69.95,Peshawar,Accepted
Mansur,19.0,Male,72.5,89.73,Lahore,Accepted
Moiz,16.0,Male,60.3,62.35,Multan,Rejected
Kamola,19.0,Female,88.3,91.42,Peshawar,Accepted
Rida,19.0,Female,64.7,77.33,Multan,Rejected
Sarvarbek,17.0,Male,76.4,46.34,Islamabad,Rejected
Laziz,22.0,Male,74.6,85.25,Peshawar,Accepted
Aliya,20.0,,89.3,43.07,Multan,Rejected
Dilnoza,21.0,Female,90.1,91.96,Islamabad,Accepted
Arslan,21.0,Male,53.9,65.34,Karachi,Rejected
Nasiba,21.0,Female,78.6,47.17,Peshawar,Rejected
Bushra,21.0,Female,75.6,84.83,Peshawar,Rejected
Tayyaba,22.0,Female,57.5,79.08,Lahoree,Rejected
Aliya,19.0,Female,100.0,40.0,Lahore,Rejected
Maryam,,Female,84.1,,Peshawar,Accepted
Kashif,19.0,Male,71.3,88.65,Rawalpindi,Accepted
Mehwish,24.0,Female,92.4,82.4,Rawalpindi,Accepted
Nimra,19.0,,72.1,55.16,Islamabad,Rejected
Arslan,19.0,Male,53.7,114.18,Peshawar,Rejected
Sherzod,18.0,Male,100.0,80.45,Lahore,Accepted
Hina,21.0,Female,100.0,72.84,Multan,Accepted
Tariq,18.0,Male,69.6,65.78,Quetta,Rejected
Nisha,17.0,Female,52.0,82.49,Islamabad,Rejected
Dilovar,21.0,Male,46.7,99.0,Rawalpindi,Rejected
Muzammil,21.0,Male,81.8,59.32,Lahore,Accepted
Tahir,21.0,Male,81.5,40.0,Peshawar,Rejected
Kashif  ,16.0,Male,75.4,,Karachi,Accepted
Maryam,20.0,Female,57.9,69.82,Lahore,Rejected
Maftuna,17.0,Female,68.1,-1.51,Lahore,Accepted
Talha,17.0,Male,50.5,99.0,Islamabad,Rejected
Zubair,18.0,Male,56.6,84.12,Quetta,Rejected
ZARA,18.0,Female,86.2,79.89,Lahore,Accepted
Rehan,17.0,Male,79.5,99.0,Multan,Accepted
Sumera,18.0,Female,67.2,,Quetta,Rejected
Bekzod,18.0,Male,58.8,80.02,Peshawar,Rejected
,16.0,Female,61.8,98.68,Karachi,Accepted
Mahnoor,21.0,Female,92.4,63.18,Quetta,Accepted
,21.0,Female,61.7,70.12,Quetta,Rejected
Bekzod,NULL,Male,43.0,77.03,Multan,Rejected
Lola,23.0,Female,68.6,94.61,Quetta,Accepted
Sardor,18.0,,45.1,55.64,,Rejected
Asad,-1.0,Male,100.0,70.72,Rawalpindi,Accepted
Lochinbek,,Male,77.0,71.08,Quetta,Accepted
,21.0,Female,61.7,70.12,Quetta,Rejected
Nimra,20.0,Female,55.6,84.8,Peshawar,Rejected
Saima,20.0,Female,76.1,77.7,Multan,Rejected
Amjad,20.0,Male,97.4,72.97,Islamabad,Accepted
Irfan,20.0,Male,104.1,44.55,Lahore,Accepted
Zubair,,Male,96.2,92.56,Islamabad,Accepted
Mehwish,21.0,Female,,73.8,Rawalpindi,Accepted
Adnan,22.0,MALE,63.2,67.37,Karachi,Rejected
Ahmed,18.0,Male,83.8,87.81,Quetta,Accepted
Abbos,22.0,Male,38.3,69.39,Lahore,Rejected
Bushra,20.0,Female,61.5,86.17,Lahore,Rejected
Uzma,19.0,Female,51.1,73.04,Quetta,Rejected
Zaid,22.0,Male,71.3,79.58,Lahore,Rejected
Imran,17.0,Male,35.1,86.33,Quetta,Rejected
Junaid,19.0,Male,81.7,,Multan,Accepted
Kiran,20.0,Female,92.4,80.65,Peshawar,Accepted
Muhabbat,21.0,Female,74.4,64.22,Peshawar,Rejected
Sana,19.0,Female,93.1,69.79,Islamabad,Accepted
Maftuna,19.0,Female,84.9,56.52,Lahore,Accepted
Hamza,20.0,Male,91.9,49.75,Lahore,Rejected
Lola,20.0,Female,76.9,81.13,Rawalpindi,Accepted
Nashit,19.0,Female,63.4,70.86,Lahore,Rejected
Zamira,23.0,Female,88.1,88.33,Lahore,Accepted
Fatima,21.0,Female,66.7,79.63,Multan,
Ulugbek,21.0,Male,74.8,,Peshawar,Rejected
Sitora,23.0,Female,53.1,59.73,,Rejected
Rida,22.0,Female,73.7,81.06,Quetta,Rejected
Samina,22.0,Female,81.4,73.78,Peshawar,
Yulduz,18.0,Female,78.4,87.22,Peshawar,Accepted
Ahmed,22.0,Male,84.0,82.78,Peshawar,Accepted
Raza,22.0,Male,83.5,79.35,Peshawar,Accepted
Bekzod,19.0,Male,83.6,72.57,Lahore,Accepted
Rukhsana,18.0,,60.7,85.58,Rawalpindi,Rejected
Abbos,20.0,Male,85.8,57.43,Multan,Accepted
Mohira,18.0,Female,70.0,79.66,rawalpindi,Rejected
Huma,23.0,Female,98.3,92.59,Islamabad,Accepted
Sajid,18.0,Male,61.1,64.4,Karachi,Rejected
Huma,,Female,69.5,82.0,Lahore,Rejected
Omer,20.0,Male,81.8,63.42,Islamabad,Rejected
Maftuna,20.0,Female,87.9,78.3,Multan,Accepted
Feruza,21.0,Female,67.3,53.19,Lahore,Rejected
Otabek,20.0,Male,63.1,65.53,Peshawar,Rejected
Amjad,19.0,Male,87.6,86.26,Quetta,Accepted
Hafsa,20.0,Female,77.3,99.0,Multan,Accepted
Abbos,19.0,Male,90.1,64.88,Rawalpindi,Accepted
Shamsiddin,25.0,Male,56.4,74.74,Quetta,Rejected
Zulfiya,19.0,Female,50.5,69.61,Peshawar,ACCEPTED
Waleed,23.0,Male,58.7,57.51,Quetta,Rejected
Muzammil,21.0,Male,,66.04,Lahore,Rejected
  Kamola,23.0,Female,46.4,52.84,Quetta,Rejected
Sarvarbek,23.0,Male,73.8,84.6,Karachi,Accepted
Babar,22.0,Male,72.6,91.17,Islamabad,Accepted
Sajid,20.0,Male,52.6,79.85,Multan,Rejected
Irfan,18.0,Male,37.8,84.49,Karachi,Rejected
Yasir,17.0,Male,86.2,77.06,Peshawar,Accepted
Javed,21.0,Male,93.8,48.02,Karachi,Accepted
Maftuna,16.0,Female,88.8,99.0,Rawalpindi,Accepted
Jasur,20.0,Male,74.5,79.45,Quetta,Rejected
Sana,18.0,Female,78.8,65.74,Peshawar,Rejected
Shahnoza,19.0,Female,44.8,85.76,Rawalpindi,Rejected
Raza,19.0,Male,74.9,63.04,Multan,Rejected
Huma,23.0,Female,97.7,90.54,Islamabad,Accepted
Naeem,21.0,Male,59.1,63.86,Peshawar,Rejected
Zainab,17.2,Female,109.0,94.59,Karachi,Rejected
Sobia,19.0,Female,84.1,99.0,Quetta,Accepted
Yasir,23.0,Male,32.0,85.64,Quetta,Rejected
Ahmed,20.0,Male,65.4,48.69,Peshawar,Rejected
Imran,19.0,Male,88.8,-5.3,Multan,Accepted
Javed,24.0,Male,66.4,84.33,Rawalpindi,Accepted
Lola,23.0,Female,80.6,85.09,Rawalpindi,Accepted
Babar,19.0,Male,44.2,65.46,Islamabad,Rejected
Sarvinoz,22.0,Female,82.5,,Islamabad,Accepted
Otabek,21.0,Male,86.5,87.37,Quetta,Accepted
Maryam,19.0,Female,95.3,45.22,Lahore,Rejected
Sherzod,19.0,Male,74.1,76.18,Rawalpindi,Rejected
Sarvinoz,20.0,Female,100.0,94.14,Lahore,Accepted
Nashit,21.0,Female,88.5,80.02,Quetta,Accepted
Bilal,19.0,Male,84.0,58.2,Lahore,Rejected
Taimur,17.0,Male,67.1,92.34,Islamabad,Accepted
Zulfiya,18.0,Female,83.4,73.07,Islamabad,Accepted
Sarvinoz,17.0,Female,45.2,64.04,Lahore,Rejected
Sardor,21.0,Male,,44.89,Rawalpindi,Rejected
Humaira,16.0,Female,76.1,86.81,Rawalpindi,Accepted
Faisal,19.0,Male,91.4,99.0,Rawalpindi,Accepted
Mavluda,19.0,Female,71.4,65.98,Karachi,Rejected
Zubair,21.0,Male,73.6,98.72,Peshawar,Accepted
Huma,16.0,Female,,61.64,Karachi,Rejected
Murtaza,18.0,Male,72.5,82.86,Rawalpindi,Accepted
Farzana,19.0,Female,,70.12,,Accepted
Nilufar,22.6,Female,78.3,66.92,Karachi,Rejected
Saqib,21.0,Male,97.7,81.93,Peshawar,Accepted
Amna,21.0,Female,89.8,93.15,Quetta,Accepted
Mavluda,19.0,Female,40.1,72.23,Islamabad,Rejected
Ulugbek,18.0,Male,86.5,68.59,Karachi,Accepted
Rukhsana,20.0,Female,81.9,51.12,Quetta,Rejected
Rukhsana,17.0,Female,,89.11,Rawalpindi,Rejected
Lochinbek,23.0,Male,73.0,76.11,Lahore,Accepted
Eldor,19.0,Male,75.5,48.76,Islamabad,Rejected
Zunaira,21.0,Female,,76.13,Quetta,Rejected
Noor,17.1,Female,80.1,65.98,Rawalpindi,Accepted
Zaid,18.0,Male,77.3,74.8,Rawalpindi,Accepted
Danyal,20.0,Male,84.6,98.19,Karachi,Accepted
Furqan,20.0,Male,88.4,,,Accepted
Zulfiya,20.0,Female,58.0,44.77,Peshawar,Rejected
Kiran,24.0,Female,85.5,88.19,Islamabad,Accepted
Sadia,20.0,Female,63.5,63.92,Peshawar,Rejected
Ulugbek,18.0,Male,81.7,74.1,Karachi,Accepted
Zainab,17.0,Female,68.5,79.73,Karachi,Rejected
Danyal,19.0,Male,67.8,79.62,Peshawar,Rejected
Shamsiddin,22.0,Male,76.0,82.86,Peshawar,Accepted
Eldor,19.8,Male,77.8,48.18,Quetta,Rejected
Iqbol,21.0,Female,96.1,,Islamabad,Accepted
Mavluda,22.0,Female,76.7,50.64,Quetta,Rejected
Waleed,20.0,Male,60.8,67.0,Karachi,Rejected
Mahnoor,16.0,Female,67.7,87.75,Quetta,Rejected
Sherzod,16.0,Male,97.2,65.03,Peshawar,Accepted
Rabia,23.0,Female,100.0,78.68,Quetta,Accepted
Nashit,21.0,Female,82.6,82.67,Karachi,Accepted
Amjad,20.0,,91.4,104.14,Lahore,Accepted
Zainab,,Female,#VALUE!,58.92,Multan,Accepted
Shazia,23.0,Female,67.9,84.15,Peshawar,Rejected
Zubair,21.0,Male,91.0,87.29,Multan,Accepted
Nadia,19.0,Female,66.2,90.35,Rawalpindi,Accepted
Zamira,19.0,Female,96.4,89.15,Peshawar,Accepted
Kashif,19.0,Male,82.3,69.28,Karachi,Accepted
Javlon,21.0,Male,79.3,47.54,Lahore,Rejected
Naeem,19.0,Male,54.5,66.2,Rawalpindi,Rejected
Maftuna,20.0,Female,91.1,95.18,Rawalpindi,Accepted
Nadia,23.0,Female,84.4,84.34,Peshawar,Accepted
