"Name","Age","Gender","Admission Test Score","High School Percentage","City","Admission Status"
"Murtaza","20.10","Male","100.00","87.54","Rawalpindi","Accepted"
"Arslan","21.00","Male","56.60","97.39","Multan","Rejected"
"Bekzod","18.00","Male","63.10","62.75","Karachi","Rejected"
"Sadia","22.00","Female","73.00","61.14","Rawalpindi","Rejected"
"Kamola","21.00","Female","64.10","85.10","Peshawar","Rejected"
"Samina","16.00","Female","87.80","67.85","Karachi","Accepted"
"Nisha","19.00","Female","72.20","82.49","Multan","Accepted"
"Muniba","19.00","Female","73.10","85.87","Rawalpindi","Accepted"
"Rukhsana","22.00","Female","77.60","72.22","Lahore","Accepted"
"Sajid","","Male","46.50","72.95","","Rejected"
"Moiz","20.00","FEMALE","-7.00","","Multan","Rejected"
"Sarvarbek","22.00","Male","79.80","65.64","Peshawar","Rejected"
"Sidra","","Female","75.20","74.93","Quetta","Accepted"
"Sobia","21.00","Female","48.40","47.45","Lahore","Rejected"
"Shamsiddin","21.00","Male","38.00","71.49","Peshawar","reject"
"Lola","21.00","Female","83.00","85.59","Lahore","Accepted"
"Danyal","27.00","Male","63.40","","","Rejected"
"Fatima","20.00","Female","80.70","87.48","Lahore","Accepted"
"Shehroz","22.00","Male","94.90","85.35","Karachi","Accepted"
"Kashif","20.00","Male","73.70","92.44","Quetta","Accepted"
"Mavluda","22.00","Female","76.70","50.64","Quetta","Rejected"
"Junaid","18.00","Male","57.30","85.45","Karachi","Rejected"
"Shazia","23.00","Female","84.90","77.80","Rawalpindi","Accepted"
"Shahnoza","21.00","Female","94.90","99.00","Rawalpindi","Accepted"
"Hulkar","21.00","Female","83.10","65.62","Peshawar","Accepted"
"Bilal","19.00","","82.80","57.35","Rawalpindi","Rejected"
"Otabek","19.00","Male","69.50","64.26","Lahore","Rejected"
"Hina","16.00","Female","42.10","59.44","Rawalpindi","Rejected"
"Saima","22.90","Female","72.90","76.29","Multan","Rejected"
"Ulugbek","21.00","Male","","57.44","Rawalpindi","Accepted"
"Nadia","21.00","Female","74.20","86.56","Rawalpindi","Rejected"
"Ali","17.00","Male","71.80","73.55","Peshawar","Accepted"
"Rohail","35.00","Male","91.90","57.05","Islamabad","Accepted"
"Dilorom","16.00","Female","83.60","79.38","Lahore","Accepted"
"Ulugbek","21.00","Male","42.80","84.96","Karachi",""
"Danyal","22.00","Male","79.40","95.93","Rawalpindi","Accepted"
"Hafsa","17.90","Female","100.00","79.47","Peshawar","Accepted"
"Faisal","18.00","Male","92.60","66.09","Rawalpindi","Accepted"
"Saim","18.00","Male","82.40","67.23","Rawalpindi","Rejected"
"Taimur","16.00","Male","70.60","68.16","Karachi","Rejected"
"Shahid","20.00","Male","78.20","69.98","Karachi","Rejected"
"Sadia","18.00","Female","66.00","81.07","Peshawar","Rejected"
"Sajid","21.00","Male","76.90","54.59","ISLAMABAD","Rejected"
"Nilufar","18.00","Female","76.50","67.34","Rawalpindi","Rejected"
"Farrukh","","Male","53.80","76.09","Islamabad","Rejected"
"Dilovar","22.00","Male","70.00","66.24","Peshawar","Rejected"
"Sidra","22.00","Female","44.70","63.76","Peshawar","Rejected"
"Kamola","25.00","Female","85.10","73.89","Quetta","Accepted"
"Nashit","48.00","Female","","68.60","Peshawar","Accepted"
"Sumera","23.00","Female","59.80","74.56","Islamabad","Rejected"
"Sarvinoz","20.00","Female","80.20","61.99","Peshawar","Rejected"
"Zamira","17.00","Female","67.40","73.02","Lahore","Rejected"
"Kamran","21.00","Male","82.60","51.26","Islamabad","Rejected"
"Hamza","18.00","Male","50.70","80.33","Peshawar","Rejected"
"Usman","","Male","66.00","93.90","Rawalpindi","Accepted"
"Kamran","20.00","Male","100.00","68.14","Lahore",""
"Taimur","19.00","Male","75.70","","Karachi","Accepted"
"","19.00","Male","62.70","56.53","Rawalpindi","Rejected"
"Yulduz","20.00","Female","65.40","78.83","Peshawar","Rejected"
"Hamza","21.00","Male","61.70","59.62","Rawalpindi","Rejected"
"Shahid","16.00","Male","80.10","99.00","Multan","Accepted"
"Sana","24.00","Female","","66.53","Rawalpindi","Accepted"
"Malika","19.00","Female","64.80","71.31","Islamabad","Rejected"
"Asilbek","18.00","Male","71.30","68.50","Lahore","Rejected"
"Huma","20.00","Female","79.70","99.00","Multan","Accepted"
"Usman","23.00","Male","55.30","69.61","Multan","Rejected"
"Asilbek","20.00","Male","56.40","65.10","Lahore","Rejected"
"Javed","20.00","Male","78.70","82.38","","Accepted"
"Muhabbat","21.00","Female","54.40","72.19","Multan","Rejected"
"Huma","20.00","Female","63.00","73.68","Lahore","Rejected"
"Ali","21.00","","72.60","84.08","Lahore","Accepted"
"WALEED","18.00","Male","82.70","95.30","Peshawar","Accepted"
"Javlon","16.00","Male","89.90","81.20","Islamabad","Accepted"
"Moiz","19.00","Male","100.00","91.11","Karachi","Accepted"
"Asilbek","19.00","Male","68.50","83.98","Karachi","Accepted"
"Faisal","20.00","Male","62.20","76.33","Multan","Rejected"
"Sarvinoz","20.00","Female","191.00","77.82","Lahore","Rejected"
"Sanjar","20.00","Male","100.00","58.23","Rawalpindi","Accepted"
"Rukhsana","17.00","Female","75.40","64.20","Karachi","Rejected"
"Kamran","23.00","Male","83.20","76.49","Quetta","Accepted"
"Imran","18.00","Male","86.30","44.32","Peshawar","Rejected"
"Javed","17.00","Male","59.70","70.84","Islamabad","Rejected"
"Bekzod","20.00","Male","63.80","87.66","RAWALPINDI","Accepted"
"Nilufar","20.00","Female","81.50","99.00","Quetta","Accepted"
"Shamsiddin","","Male","","75.89","Lahore",""
"Sherzod","21.00","Male","79.20","61.93","Quetta","Accepted"
"Sarvinoz","26.00","Female","51.30","94.37","Karachi","Rejected"
"Fareeha","21.00","Female","65.20","50.78","Quetta","Rejected"
"Raza","17.00","Male","62.80","67.73","Multan","Rejected"
"Sobia","19.00","Female","76.60","93.10","PESHAWAR","Accepted"
"Temur","","Male","70.40","49.76","Multan","Rejected"
"Fatima","19.00","Female","","60.42","Islamabad","Rejected"
"Rohail","19.00","Male","52.30","92.05","","Rejected"
"Raza","19.00","Male","96.80","99.00","Multan","Accepted"
"Asad","21.00","Male","85.00","86.50","Lahore","Accepted"
"Shehroz","21.00","Male","98.10","53.18","Rawalpindi","Accepted"
"Zulfiya","20.00","Female","81.10","74.74","Multan","Rejected"
"Ali","22.00","Male","97.90","92.86","Lahore","Accepted"
"Rukhsana","16.00","Female","66.40","71.87","Multan","Rejected"
"Humaira","19.00","Female","57.30","69.85","Quetta","Rejected"
"Mirzo","18.00","Male","54.40","95.56","Quetta","Rejected"
"Waleed","20.00","Male","97.00","76.18","Karachi",""
"Mansur","18.00","Male","55.70","67.67","Multan","Rejected"
"Shahid","18.00","Male","","80.34","Karachii","Accepted"
"Feruza","20.00","Female","69.90","75.38","Peshawar","Rejected"
"Samina","","Female","","91.76","Rawalpindi","Rejected"
"Hamza","21.00","Male","84.00","77.76","Rawalpindi","Accepted"
"Samina","23.00","Female","67.90","87.13","Lahore","Accepted"
"Sumera","20.00","Female","67.70","51.95","Karachi","Rejected"
"Furqan","22.00","Male","104.70","83.25","Islamabad","Accepted"
"Ahmed","20.00","Male","78.90","","Karachi","Accepted"
"Muniba","21.00","Female","59.20","70.38","Peshawar","Rejected"
"Nabeel","17.00","Male","91.30","48.89","Karachi","Accepted"
"Gulnora","17.00","Female","73.80","91.04","Islamabad","Accepted"
"Muhabbat","24.00","Female","100.00","69.19","Rawalpindi","Accepted"
"Zara","19.00","Female","43.00","82.81","Lahore","Rejected"
"Amir","47.00","Male","89.80","80.94","Peshawar","Accepted"
"Rohail","20.00","Male","100.00","68.93","Quetta","Accepted"
"Sara","18.00","Female","90.10","85.26","Lahore","Accepted"
"Yulduz","20.00","Female","72.50","48.72","Karachi","Rejected"
"Barno","21.00","Female","90.00","76.91","Peshawar","Accepted"
"Hafsa","22.00","Female","66.90","","Karachi","Rejected"
"Sobia","22.00","Female","66.00","56.49","Lahore","Rejected"
"Shahnoza","24.00","Female","73.00","40.00","Quetta","Rejected"
"Tahir","17.00","Male","80.00","59.57","Quetta","Rejected"
"Bekzod","20.00","Male","61.90","85.37","Lahore","Rejected"
"Shazia","18.00","Female","65.20","78.05","Quetta","Rejected"
"Junaid","21.00","","68.20","95.67","Karachi","Accepted"
"Ahmed","18.00","Male","45.20","","Multan","Rejected"
"Ismail","25.00","Male","76.40","73.17","Multan","Accepted"
"Bekzod","22.00","Male","68.50","62.61","Quetta","Rejected"
"Taimur","21.00","Male","99.70","57.18","Islamabad","Accepted"
"Ismail","19.00","Male","82.90","99.00","Multan","Accepted"
"Khurram","20.00","Male","79.90","62.68","Rawalpindi","Rejected"
"Sobia","22.00","Female","60.40","62.88","Multan","Rejected"
"Javlon","-3.00","Male","78.60","90.95","Lahore","Accepted"
"Nisha","21.00","Female","66.60","79.63","Multan","Rejected"
"Sherzod","25.00","Male","84.40","88.73","Rawalpindi","Accepted"
"Shazia","16.00","Female","56.50","","Islamabad","Rejected"
"Kamol","23.00","femal","72.10","85.71","Peshawar","Accepted"
"Mahnoor","20.00","Female","76.00","85.47","Quetta","Accepted"
"Murtaza","22.00","Male","41.30","80.67","Peshawar","Rejected"
"Kamol","20.00","Male","58.90","","Islamabad","Rejected"
"Mohira","21.00","Female","73.00","80.48","Karachi","Accepted"
"Mirzo","22.00","Male","73.10","58.96","Peshawar","Rejected"
"Saqib","24.00","Male","59.20","75.91","Peshawar","Rejected"
"Nadia","17.00","Female","81.20","43.44","Islamabad","Rejected"
"Mahnoor","22.00","Female","72.60","61.34","Karachi","accepted"
"Muslimbek","19.00","Male","93.10","80.16","Peshawar","Accepted"
"Asad","19.00","Male","80.80","75.84","Karachi","Accepted"
"Lola","18.00","Female","61.80","69.64","Rawalpindi","Rejected"
"Javed","19.00","Male","96.80","68.10","Quetta","Accepted"
"Kamran","20.00","fEmale","84.90","77.27","Quetta","Accepted"
"Ali","99.00","Male","49.20","53.64","Islamabad","Rejected"
"Mansur","20.00","Male","55.40","85.87","Quetta","Rejected"
"Hamza","18.00","Male","59.00","99.00","Peshawar","Rejected"
"Moiz","21.00","Male","78.60","73.01","Lahore","Accepted"
"Otabek","19.00","Male","69.50","64.26","Lahore","Rejected"
"Zunaira","24.00","","77.20","56.50","Lahore","rejected"
"Sidra","19.00","Female","66.70","40.00","Karachi","Rejected"
"Javed","20.00","Male","95.80","99.00","Karachi","Accepted"
"","20.00","Female","100.00","76.90","Quetta","Accepted"
"Naeem","18.00","Male","96.30","90.96","Lahore","Accepted"
"Abbos","16.00","Male","67.20","50.24","Peshawar","Rejected"
"Zaid","23.00","Male","68.40","43.88","Lahore","Rejected"
"Mansur","19.00","Male","94.20","65.50","Islamabad","Accepted"
"Muniba","17.00","Female","90.80","62.20","Karachi","accepted"
"Shazia","18.00","Female","91.70","83.93","Islamabad","Accepted"
"Tariq","19.00","Male","73.80","58.65","Rawalpindi",""
"Muslimbek","23.00","Male","98.60","72.69","Quetta","Accepted"
"Zamira","20.00","Female","69.60","69.74","Karachi","Rejected"
"Yulduz","23.00","","97.00","89.32","Multan","Accepted"
"Zainab","","Female","","58.92","Multan","Accepted"
"Zainab","23.00","Female","75.50","52.19","Quetta","Rejected"
"Nadia","16.00","Female","66.20","58.46","Peshawar","Rejected"
"Huma","22.00","Female","57.10","93.57","Multan","Accepted"
"Usman","99.00","Male","80.90","90.10","Rawalpindi","Accepted"
"Maryam","22.00","Female","63.40","86.29","Quetta",""
"Zunaira","19.00","Female","100.00","96.44","Quetta","Accepted"
"Uzma","21.00","Female","88.10","71.35","Multan","Accepted"
"Mahnoor","21.00","Female","70.80","75.47","Islamabad","Rejected"
"Taimur","16.00","Male","97.70","84.97","quetta","Accepted"
"","21.00","Male","79.30","40.00","Peshawar","Rejected"
"Shafiq","22.00","","82.30","83.05","Islamabad","Accepted"
"Maryam","","","78.20","62.83","Peshawar","Rejected"
"Noor","20.00","Female","78.70","65.59","Islamabad","Accepted"
"Omer","","Male","96.80","85.64","Multan","Accepted"
"Sumera","22.00","Female","79.20","90.85","Peshawar","reject"
"Danyal","23.00","Male","92.90","78.11","Lahore","Accepted"
"Zamira","23.00","Female","85.90","52.33","Peshawar","Accepted"
"Shamsiddin","21.00","Male","68.20","85.63","Quetta","Accepted"
"Farrukh","66.00","Male","68.60","","Islamabad","Rejected"
"Gulnora","18.00","Female","51.60","91.09","Islamabad","Rejected"
"Rabia","22.00","Female","95.60","59.90","Islamabad","Accepted"
"Khurram","21.00","Male","68.40","87.59","Peshawar","Accepted"
"Adnan","16.00","Male","43.90","88.63","Quetta","Rejected"
"Mansur","24.00","Male","90.20","55.57","Peshawar","Rejected"
"Barno","19.00","Female","79.40","93.49","Peshawar","Accepted"
"Sarvinoz","19.00","","57.90","71.58","Multan","Rejected"
"Ozoda","19.00","Female","70.40","71.22","Quetta","Rejected"
"Khurram","20.00","Male","100.00","92.99","Peshawar","Accepted"
"Arslan","17.00","Male","94.70","79.56","Rawalpindi","Accepted"
"","19.00","Male","71.80","64.31","Multan","Rejected"
"Mahnoor","26.00","Female","91.60","78.92","Quetta","Accepted"
"Murtaza","18.00","Male","95.70","73.67","Lahore","Accepted"
"Bekzod","24.00","Male","78.90","73.19","Peshawar","Accepted"
"Abbos","18.00","Male","63.50","84.39","Peshawar","Accepted"
"Uzma","17.00","Female","60.90","66.96","","Rejected"
"Sarvarbek","20.00","Male","77.30","76.18","Karachi","Accepted"
"Kashif","20.00","Male","85.80","94.91","Peshawar","Accepted"
"Mehwish","20.00","Female","68.20","74.65","Karachi","Accepted"
"Tayyaba","23.00","Female","78.10","81.77","Karachi","Accepted"
"Furqan","20.00","Male","78.90","57.73","Peshawar","Rejected"
"Eldor","21.00","Male","","77.98","Quetta","Rejected"
"Sherzod","19.00","femal","57.30","72.56","Islamabad",""
"Yulduz","21.00","Female","76.00","","Islamabad","Accepted"
"Tayyaba","18.00","Female","89.10","63.08","Rawalpindi","Accepted"
"Gulnora","21.00","Female","69.50","92.47","Multan","Accepted"
"Amir","18.00","Male","89.80","76.80","Lahore","Accepted"
"Kiran","21.00","Female","96.70","84.50","Karachi","Accepted"
"Muniba","","Female","114.00","70.68","Peshawar","Rejected"
"","20.00","Male","80.80","","Peshawar","Rejected"
"Kiran","21.00","Female","73.50","97.47","Quetta","Accepted"
"Nisha","22.00","Female","62.90","78.33","Karachi","Rejected"
"Salman","19.00","Male","80.10","66.29","Rawalpindi","Accepted"
"Lochinbek","24.00","Male","75.40","89.03","Multan","Accepted"
"Hina","18.00","Female","60.40","93.75","Lahore","Accepted"
"Aliya","22.00","Female","96.90","77.55","Peshawar","Accepted"
"Abbos","19.00","Male","100.00","58.67","Quetta","Accepted"
"Taimur","18.00","Male","63.60","92.03","Peshawar","Rejected"
"Shahid","21.00","Male","90.90","83.28","Rawalpindi","accepted"
"Sana","19.00","Female","79.10","81.80","Quetta","Accepted"
"Mahnoor","21.00","Female","78.00","62.42","Quetta","Rejected"
"Usman","21.60","Male","70.00","86.41","Karachi",""
"Tariq","21.00","Male","","83.42","Multan","Rejected"
"Eldor","21.00","Male","56.20","","Peshawar","Rejected"
"Rida","22.00","Female","77.50","67.15","Karachi","Rejected"
"Noor","19.00","Female","87.80","88.77","Karachi","Accepted"
"Farrukh","22.00","Male","92.40","81.03","Multan","Accepted"
"Gulnora","18.00","Female","60.80","","Multan","Accepted"
"Behruz","-1.00","Male","87.40","54.16","Multan","Rejected"
"","19.00","Male","71.50","64.05","Lahore","Rejected"
"Shoira","18.00","F","93.80","82.74","Karachi","Accepted"
"Ibrohim","18.00","Male","34.00","74.52","Quetta","Rejected"
"SITORA","20.00","Female","60.90","58.35","Multan","Rejected"
"Nasiba","17.00","Female","68.50","78.85","Karachi",""
"Tariq","21.00","Male","70.70","60.75","Lahore","Rejected"
"","21.00","Male","100.00","69.80","Peshawar","Accepted"
"Faisal","22.00","Male","79.30","","Multan","Accepted"
"Zara","19.00","Female","75.60","79.53","Peshawar","Accepted"
"Saim","-1.00","","99.40","118.53","Rawalpindi","Accepted"
"Gulnora","23.00","Female","76.70","89.07","Islamabad","Accepted"
"Hafsa","20.00","Female","89.70","68.42","Rawalpindi","Accepted"
"Waqar","17.00","Male","76.10","99.00","Islamabad","Accepted"
"Samina","20.00","Female","91.20","55.56","Karachi","Rejected"
"Waqar","20.00","Male","67.60","79.33","Multan","Rejected"
"Hulkar","23.00","Female","53.00","71.33","Multan","Rejected"
"Maftuna","17.00","Female","50.60","52.70","Rawalpindi","Rejected"
"Laziz","23.00","Male","58.10","94.86","Lahore","Rejected"
"Mahnoor","20.00","Female","73.10","78.35","Peshawar","Rejected"
"Khurram","18.00","Male","61.60","69.26","Karachi","Rejected"
"Zaid","20.00","Male","80.00","84.89","Islamabad","Accepted"
"Sara","23.00","Female","-37.00","83.63","Islamabad","Accepted"
"Amir","23.00","Male","96.90","57.78","Quetta","Accepted"
"Fatima","22.00","Female","72.40","49.36","Rawalpindi","Rejected"
"Mirzo","20.00","Male","93.90","74.99","Karachi","Accepted"
"Talha","19.00","Male","77.20","73.77","Rawalpindi","Rejected"
"Ulugbek","19.00","Male","60.70","78.78","Karachi","Rejected"
"Shahid","18.00","Male","75.30","70.34","Peshawar","Accepted"
"Muhabbat","19.00","Female","99.60","58.38","Quetta","Accepted"
"Iqra","21.00","Female","68.20","81.85","Islamabad","Rejected"
"Sadia","19.00","Female","87.50","77.81","Islamabad","Accepted"
"Ayesha","","","89.40","83.82","Lahore","Accepted"
"Talha","18.00","Male","78.60","-3.94","Rawalpindi","Accepted"
"Feruza","16.00","Female","100.00","104.41","Peshawar","Accepted"
"Zunaira","16.00","Female","89.90","","Quetta","Accepted"
"Sara","19.00","Female","68.70","90.52","Lahore","Rejected"
"Iqra","24.00","Female","74.50","52.06","Multan","Rejected"
"Asilbek","24.00","Male","75.50","76.22","Islamabad","Accepted"
"Mavluda","18.00","Female","100.00","75.29","Islamabad","Accepted"
"","17.00","Male","99.30","","Quetta","Accepted"
"Sherzod","21.00","Male","98.10","72.94","Islamabad",""
"Arslan","20.00","Male","49.40","60.07","Multan","Rejected"
"Javlon","18.00","Male","75.60","55.75","Karachi","Rejected"
"Dilnoza","24.00","Female","58.60","97.76","Peshawar","Rejected"
"Iqra","20.00","Female","70.50","74.90","Lahore","Accepted"
"Nodir","20.00","Male","84.80","93.22","Karachi","Accepted"
"Iqra","23.00","Female","75.20","64.97","Multan","Rejected"
"Nashit","16.00","","78.70","73.78","Karachi","Accepted"
"Moiz","25.00","Male","30.00","81.02","Quetta","Rejected"
"Taimur","22.00","Male","100.00","81.00","Islamabad","Accepted"
"Ulugbek","21.00","Male","72.70","50.25","Lahore",""
"Adnan","20.00","Male","","87.70","Rawalpindi","Rejected"
"Ahmed","20.00","Male","97.90","99.00","Peshawar","Accepted"
"Saqib","","Male","79.10","65.11","Karachi","Rejected"
"Haris","22.00","Male","67.00","88.86","Lahore","Accepted"
"Haris","25.00","Male","82.20","43.27","Quetta","Rejected"
"Haris","21.00","Male","80.60","90.05","Peshawar","Accepted"
"","21.00","Female","57.80","70.41","Multan","Rejected"
"Jasur","17.00","Male","60.00","63.38","Islamabad","Rejected"
"Hassan","19.00","Male","-50.00","63.35","Islamabad","Accepted"
"Muhabbat","17.00","Female","145.00","62.53","Lahore","Accepted"
"Shamsiddin","19.00","Male","95.50","80.74","Peshawar","Accepted"
"Laziz","18.00","Male","73.80","","Karachi","Rejected"
"Shahnoza","21.00","Female","92.60","70.96","Multan","Accepted"
"Fatima","22.00","Female","-39.00","81.17","Peshawar","Accepted"
"Mavluda","20.00","Female","66.20","64.96","Islamabad","Rejected"
"Amjad","19.00","Male","71.70","78.85","LAHORE","Rejected"
"Mansur","22.00","Male","78.50","66.98","Rawalpindi","Accepted"
"Bekzod","20.00","Male","61.20","50.68","Quetta","Rejected"
"Nisha","22.00","Female","70.00","65.41","Rawalpindi","Rejected"
"Sarvarbek","19.00","Male","58.30","93.79","Karachi","Accepted"
"Zulfiya","24.00","Female","69.90","72.52","Karachi","Rejected"
"","20.00","Female","100.00","61.29","Islamabad","Accepted"
"Barno","21.00","Female","82.00","91.84","Quetta","Accepted"
"Kamola","20.00","Female","100.00","76.51","Rawalpindi","Accepted"
"Babar","18.00","Male","83.10","84.34","Multan","Accepted"
"Feruza","19.00","Female","69.10","91.22","Peshawar","Accepted"
"Rabia","21.00","Female","53.40","42.89","Islamabad","Rejected"
"Mohira","23.00","Female","88.50","69.95","Peshawar","Accepted"
"Mansur","19.00","Male","72.50","89.73","Lahore","Accepted"
"Moiz","16.00","Male","60.30","62.35","Multan","Rejected"
"Kamola","19.00","Female","88.30","91.42","Peshawar","Accepted"
"Rida","19.00","Female","64.70","77.33","Multan","Rejected"
"Sarvarbek","17.00","Male","76.40","46.34","Islamabad","Rejected"
"Laziz","22.00","Male","74.60","85.25","Peshawar","Accepted"
"Aliya","20.00","","89.30","43.07","Multan","Rejected"
"Dilnoza","21.00","Female","90.10","91.96","Islamabad","Accepted"
"Arslan","21.00","Male","53.90","65.34","Karachi","Rejected"
"Nasiba","21.00","Female","78.60","47.17","Peshawar","Rejected"
"Bushra","21.00","Female","75.60","84.83","Peshawar","Rejected"
"Tayyaba","22.00","Female","57.50","79.08","Lahoree","Rejected"
"Aliya","19.00","Female","100.00","40.00","Lahore","Rejected"
"Maryam","","Female","84.10","","Peshawar","Accepted"
"Kashif","19.00","Male","71.30","88.65","Rawalpindi","Accepted"
"Mehwish","24.00","Female","92.40","82.40","Rawalpindi","Accepted"
"Nimra","19.00","","72.10","55.16","Islamabad","Rejected"
"Arslan","19.00","Male","53.70","114.18","Peshawar","Rejected"
"Sherzod","18.00","Male","100.00","80.45","Lahore","Accepted"
"Hina","21.00","Female","100.00","72.84","Multan","Accepted"
"Tariq","18.00","Male","69.60","65.78","Quetta","Rejected"
"Nisha","17.00","Female","52.00","82.49","Islamabad","Rejected"
"Dilovar","21.00","Male","46.70","99.00","Rawalpindi","Rejected"
"Muzammil","21.00","Male","81.80","59.32","Lahore","Accepted"
"Tahir","21.00","Male","81.50","40.00","Peshawar","Rejected"
"Kashif  ","16.00","Male","75.40","","Karachi","Accepted"
"Maryam","20.00","Female","57.90","69.82","Lahore","Rejected"
"Maftuna","17.00","Female","68.10","-1.51","Lahore","Accepted"
"Talha","17.00","Male","50.50","99.00","Islamabad","Rejected"
"Zubair","18.00","Male","56.60","84.12","Quetta","Rejected"
"ZARA","18.00","Female","86.20","79.89","Lahore","Accepted"
"Rehan","17.00","Male","79.50","99.00","Multan","Accepted"
"Sumera","18.00","Female","67.20","","Quetta","Rejected"
"Bekzod","18.00","Male","58.80","80.02","Peshawar","Rejected"
"","16.00","Female","61.80","98.68","Karachi","Accepted"
"Mahnoor","21.00","Female","92.40","63.18","Quetta","Accepted"
"","21.00","Female","61.70","70.12","Quetta","Rejected"
"Bekzod","","Male","43.00","77.03","Multan","Rejected"
"Lola","23.00","Female","68.60","94.61","Quetta","Accepted"
"Sardor","18.00","","45.10","55.64","","Rejected"
"Asad","-1.00","Male","100.00","70.72","Rawalpindi","Accepted"
"Lochinbek","","Male","77.00","71.08","Quetta","Accepted"
"","21.00","Female","61.70","70.12","Quetta","Rejected"
"Nimra","20.00","Female","55.60","84.80","Peshawar","Rejected"
"Saima","20.00","Female","76.10","77.70","Multan","Rejected"
"Amjad","20.00","Male","97.40","72.97","Islamabad","Accepted"
"Irfan","20.00","Male","104.10","44.55","Lahore","Accepted"
"Zubair","","Male","96.20","92.56","Islamabad","Accepted"
"Mehwish","21.00","Female","","73.80","Rawalpindi","Accepted"
"Adnan","22.00","MALE","63.20","67.37","Karachi","Rejected"
"Ahmed","18.00","Male","83.80","87.81","Quetta","Accepted"
"Abbos","22.00","Male","38.30","69.39","Lahore","Rejected"
"Bushra","20.00","Female","61.50","86.17","Lahore","Rejected"
"Uzma","19.00","Female","51.10","73.04","Quetta","Rejected"
"Zaid","22.00","Male","71.30","79.58","Lahore","Rejected"
"Imran","17.00","Male","35.10","86.33","Quetta","Rejected"
"Junaid","19.00","Male","81.70","","Multan","Accepted"
"Kiran","20.00","Female","92.40","80.65","Peshawar","Accepted"
"Muhabbat","21.00","Female","74.40","64.22","Peshawar","Rejected"
"Sana","19.00","Female","93.10","69.79","Islamabad","Accepted"
"Maftuna","19.00","Female","84.90","56.52","Lahore","Accepted"
"Hamza","20.00","Male","91.90","49.75","Lahore","Rejected"
"Lola","20.00","Female","76.90","81.13","Rawalpindi","Accepted"
"Nashit","19.00","Female","63.40","70.86","Lahore","Rejected"
"Zamira","23.00","Female","88.10","88.33","Lahore","Accepted"
"Fatima","21.00","Female","66.70","79.63","Multan",""
"Ulugbek","21.00","Male","74.80","","Peshawar","Rejected"
"Sitora","23.00","Female","53.10","59.73","","Rejected"
"Rida","22.00","Female","73.70","81.06","Quetta","Rejected"
"Samina","22.00","Female","81.40","73.78","Peshawar",""
"Yulduz","18.00","Female","78.40","87.22","Peshawar","Accepted"
"Ahmed","22.00","Male","84.00","82.78","Peshawar","Accepted"
"Raza","22.00","Male","83.50","79.35","Peshawar","Accepted"
"Bekzod","19.00","Male","83.60","72.57","Lahore","Accepted"
"Rukhsana","18.00","","60.70","85.58","Rawalpindi","Rejected"
"Abbos","20.00","Male","85.80","57.43","Multan","Accepted"
"Mohira","18.00","Female","70.00","79.66","rawalpindi","Rejected"
"Huma","23.00","Female","98.30","92.59","Islamabad","Accepted"
"Sajid","18.00","Male","61.10","64.40","Karachi","Rejected"
"Huma","","Female","69.50","82.00","Lahore","Rejected"
"Omer","20.00","Male","81.80","63.42","Islamabad","Rejected"
"Maftuna","20.00","Female","87.90","78.30","Multan","Accepted"
"Feruza","21.00","Female","67.30","53.19","Lahore","Rejected"
"Otabek","20.00","Male","63.10","65.53","Peshawar","Rejected"
"Amjad","19.00","Male","87.60","86.26","Quetta","Accepted"
"Hafsa","20.00","Female","77.30","99.00","Multan","Accepted"
"Abbos","19.00","Male","90.10","64.88","Rawalpindi","Accepted"
"Shamsiddin","25.00","Male","56.40","74.74","Quetta","Rejected"
"Zulfiya","19.00","Female","50.50","69.61","Peshawar","ACCEPTED"
"Waleed","23.00","Male","58.70","57.51","Quetta","Rejected"
"Muzammil","21.00","Male","","66.04","Lahore","Rejected"
"  Kamola","23.00","Female","46.40","52.84","Quetta","Rejected"
"Sarvarbek","23.00","Male","73.80","84.60","Karachi","Accepted"
"Babar","22.00","Male","72.60","91.17","Islamabad","Accepted"
"Sajid","20.00","Male","52.60","79.85","Multan","Rejected"
"Irfan","18.00","Male","37.80","84.49","Karachi","Rejected"
"Yasir","17.00","Male","86.20","77.06","Peshawar","Accepted"
"Javed","21.00","Male","93.80","48.02","Karachi","Accepted"
"Maftuna","16.00","Female","88.80","99.00","Rawalpindi","Accepted"
"Jasur","20.00","Male","74.50","79.45","Quetta","Rejected"
"Sana","18.00","Female","78.80","65.74","Peshawar","Rejected"
"Shahnoza","19.00","Female","44.80","85.76","Rawalpindi","Rejected"
"Raza","19.00","Male","74.90","63.04","Multan","Rejected"
"Huma","23.00","Female","97.70","90.54","Islamabad","Accepted"
"Naeem","21.00","Male","59.10","63.86","Peshawar","Rejected"
"Zainab","17.20","Female","109.00","94.59","Karachi","Rejected"
"Sobia","19.00","Female","84.10","99.00","Quetta","Accepted"
"Yasir","23.00","Male","32.00","85.64","Quetta","Rejected"
"Ahmed","20.00","Male","65.40","48.69","Peshawar","Rejected"
"Imran","19.00","Male","88.80","-5.30","Multan","Accepted"
"Javed","24.00","Male","66.40","84.33","Rawalpindi","Accepted"
"Lola","23.00","Female","80.60","85.09","Rawalpindi","Accepted"
"Babar","19.00","Male","44.20","65.46","Islamabad","Rejected"
"Sarvinoz","22.00","Female","82.50","11.00","Islamabad","Accepted"
